time,target,temperature
2026-01-07 04:00:00,174.6658,19.7121
2026-01-07 05:00:00,174.9248,20.0908
2026-01-07 06:00:00,174.1399,20.4800
2026-01-07 07:00:00,176.9415,20.4025
2026-01-07 08:00:00,176.1109,19.6791
2026-01-07 09:00:00,175.9612,19.0275
2026-01-07 10:00:00,178.0674,17.3182
2026-01-07 11:00:00,176.2483,16.2232
2026-01-07 12:00:00,178.1509,15.3219
2026-01-07 13:00:00,178.4623,13.1400
2026-01-07 14:00:00,179.9274,11.9769
2026-01-07 15:00:00,180.3996,11.0719
2026-01-07 16:00:00,179.5050,11.0154
2026-01-07 17:00:00,179.4215,9.7488
2026-01-07 18:00:00,181.0496,10.2683
2026-01-07 19:00:00,182.5199,10.3976
2026-01-07 20:00:00,183.3372,10.6610
2026-01-07 21:00:00,183.8475,10.9677
2026-01-07 22:00:00,182.1642,12.5320
2026-01-07 23:00:00,182.8705,13.9805
2026-01-08 00:00:00,184.4166,15.0273
2026-01-08 01:00:00,185.5309,16.3661
2026-01-08 02:00:00,184.4351,17.3575
2026-01-08 03:00:00,186.5358,19.0162
2026-01-08 04:00:00,185.1247,19.7511
2026-01-08 05:00:00,187.9053,19.8587
2026-01-08 06:00:00,187.2190,19.6412
2026-01-08 07:00:00,187.6077,19.8334
2026-01-08 08:00:00,188.3157,18.7634
2026-01-08 09:00:00,189.9082,18.5548
2026-01-08 10:00:00,188.7018,17.8613
2026-01-08 11:00:00,189.6886,16.2833
2026-01-08 12:00:00,190.5730,14.4791
2026-01-08 13:00:00,190.6161,13.6024
2026-01-08 14:00:00,192.3706,13.0081
2026-01-08 15:00:00,190.8076,11.4323
2026-01-08 16:00:00,190.8809,10.5903
2026-01-08 17:00:00,193.4472,10.6510
2026-01-08 18:00:00,192.9296,9.7807
2026-01-08 19:00:00,192.5744,10.3118
2026-01-08 20:00:00,195.2758,10.2252
2026-01-08 21:00:00,195.3379,10.8918
2026-01-08 22:00:00,194.0823,12.1727
2026-01-08 23:00:00,196.0611,13.4924
2026-01-09 00:00:00,195.5660,15.1437
2026-01-09 01:00:00,195.3147,16.5712
2026-01-09 02:00:00,195.8684,17.5126
2026-01-09 03:00:00,196.7517,18.1728
2026-01-09 04:00:00,198.0911,19.2543
2026-01-09 05:00:00,198.1272,19.7257
2026-01-09 06:00:00,199.0880,19.5917
2026-01-09 07:00:00,198.6128,19.9872
2026-01-09 08:00:00,200.4154,19.3657
2026-01-09 09:00:00,201.5538,18.6696
2026-01-09 10:00:00,202.0703,17.1792
2026-01-09 11:00:00,202.2223,16.6667
2026-01-09 12:00:00,203.2080,14.7790
2026-01-09 13:00:00,201.9450,14.2132
2026-01-09 14:00:00,202.1544,13.0980
2026-01-09 15:00:00,204.6626,11.0252
2026-01-09 16:00:00,203.2180,10.9418
2026-01-09 17:00:00,203.7785,9.6868
2026-01-09 18:00:00,205.9965,9.9060
2026-01-09 19:00:00,206.3698,9.7216
2026-01-09 20:00:00,205.7083,10.8921
2026-01-09 21:00:00,205.0533,11.1056
2026-01-09 22:00:00,207.5471,12.9936
2026-01-09 23:00:00,208.9051,13.2444
2026-01-10 00:00:00,208.0170,15.3098
2026-01-10 01:00:00,208.5084,16.5169
2026-01-10 02:00:00,208.0670,16.9847
2026-01-10 03:00:00,208.3185,17.9805
2026-01-10 04:00:00,210.1550,19.3479
2026-01-10 05:00:00,210.7062,19.4055
2026-01-10 06:00:00,210.0536,19.6447
2026-01-10 07:00:00,212.5206,20.4180
2026-01-10 08:00:00,213.2807,18.8444
2026-01-10 09:00:00,211.1858,19.0773
2026-01-10 10:00:00,212.8862,17.8177
2026-01-10 11:00:00,212.9805,16.2544
2026-01-10 12:00:00,214.0459,14.9161
2026-01-10 13:00:00,214.8028,13.1218
2026-01-10 14:00:00,215.6031,12.9131
2026-01-10 15:00:00,214.5438,11.4092
2026-01-10 16:00:00,216.7180,10.5562
2026-01-10 17:00:00,215.5854,9.7685
2026-01-10 18:00:00,217.0377,9.4185
2026-01-10 19:00:00,218.6796,10.5324
2026-01-10 20:00:00,218.6140,11.1028
2026-01-10 21:00:00,218.8882,11.3499
2026-01-10 22:00:00,219.2988,12.5051
2026-01-10 23:00:00,220.9480,14.0717
