time,target,cov_a,cov_b,cov_c
2026-01-04 03:00:00,64.0618,5.9499,19.2445,3.0000
2026-01-04 04:00:00,66.7986,5.6926,20.0021,4.0000
2026-01-04 05:00:00,68.0868,5.3419,21.2923,5.0000
2026-01-04 06:00:00,66.1005,4.8590,20.7888,6.0000
2026-01-04 07:00:00,69.4365,4.4773,20.1820,7.0000
2026-01-04 08:00:00,65.9880,3.9051,19.5135,8.0000
2026-01-04 09:00:00,64.9044,3.4450,20.2440,9.0000
2026-01-04 10:00:00,61.3544,3.6152,18.1607,10.0000
2026-01-04 11:00:00,62.8050,3.4670,19.6624,11.0000
2026-01-04 12:00:00,58.5143,3.3543,16.8298,12.0000
2026-01-04 13:00:00,55.2488,2.6994,15.6659,13.0000
2026-01-04 14:00:00,55.2959,3.1408,16.0314,14.0000
2026-01-04 15:00:00,53.1964,3.8944,16.1846,15.0000
2026-01-04 16:00:00,49.3256,3.6139,14.0491,16.0000
2026-01-04 17:00:00,49.6852,4.8962,15.1859,17.0000
2026-01-04 18:00:00,48.0252,4.6605,15.0824,18.0000
2026-01-04 19:00:00,50.4945,5.5084,15.3213,19.0000
2026-01-04 20:00:00,48.7536,5.6376,15.5712,20.0000
2026-01-04 21:00:00,50.3526,6.7197,14.4432,21.0000
2026-01-04 22:00:00,55.3398,6.3847,15.8016,22.0000
2026-01-04 23:00:00,57.5947,7.3702,17.2999,23.0000
2026-01-05 00:00:00,61.2173,7.1746,19.0853,0.0000
2026-01-05 01:00:00,62.5343,7.3160,19.1104,1.0000
2026-01-05 02:00:00,64.4254,6.6386,20.0017,2.0000
2026-01-05 03:00:00,65.2130,6.3921,18.7751,3.0000
2026-01-05 04:00:00,70.0194,6.0476,21.6599,4.0000
2026-01-05 05:00:00,69.3014,5.4580,20.8803,5.0000
2026-01-05 06:00:00,70.6295,4.7336,20.2972,6.0000
2026-01-05 07:00:00,69.9709,4.0887,20.9960,7.0000
2026-01-05 08:00:00,67.6113,4.1109,20.3568,8.0000
2026-01-05 09:00:00,66.2241,3.8898,19.8124,9.0000
2026-01-05 10:00:00,67.3340,3.0751,20.1953,10.0000
2026-01-05 11:00:00,62.8529,3.2740,18.5416,11.0000
2026-01-05 12:00:00,61.0983,2.9695,17.7362,12.0000
2026-01-05 13:00:00,60.1598,2.8864,18.8412,13.0000
2026-01-05 14:00:00,56.3830,3.2020,16.6789,14.0000
2026-01-05 15:00:00,53.0411,3.2133,15.5188,15.0000
2026-01-05 16:00:00,54.3011,3.6604,16.2792,16.0000
2026-01-05 17:00:00,51.5161,4.3102,14.5001,17.0000
2026-01-05 18:00:00,52.3775,5.0165,15.9092,18.0000
2026-01-05 19:00:00,51.6485,5.9240,15.5411,19.0000
2026-01-05 20:00:00,53.6779,5.7244,15.9175,20.0000
2026-01-05 21:00:00,55.0978,6.8392,17.0608,21.0000
2026-01-05 22:00:00,58.0846,6.7101,17.9488,22.0000
2026-01-05 23:00:00,60.5057,7.2232,17.4517,23.0000
2026-01-06 00:00:00,63.0128,7.4619,19.4704,0.0000
2026-01-06 01:00:00,65.3548,6.4446,19.2984,1.0000
2026-01-06 02:00:00,65.3990,6.9332,19.8426,2.0000
2026-01-06 03:00:00,71.0703,6.0090,21.3667,3.0000
2026-01-06 04:00:00,72.9710,6.3614,21.1363,4.0000
2026-01-06 05:00:00,71.7644,6.0095,21.2030,5.0000
2026-01-06 06:00:00,72.7892,4.6226,22.6508,6.0000
2026-01-06 07:00:00,74.0396,4.4030,21.4222,7.0000
2026-01-06 08:00:00,70.8971,4.1419,22.0979,8.0000
2026-01-06 09:00:00,69.9919,3.4898,20.3234,9.0000
2026-01-06 10:00:00,67.3417,3.0989,20.8503,10.0000
2026-01-06 11:00:00,65.4680,3.3425,18.9895,11.0000
2026-01-06 12:00:00,61.4748,2.6639,17.7521,12.0000
2026-01-06 13:00:00,62.4757,3.0387,18.3841,13.0000
2026-01-06 14:00:00,56.6692,3.0090,17.4030,14.0000
2026-01-06 15:00:00,57.1980,3.6444,16.7827,15.0000
2026-01-06 16:00:00,56.2410,3.8488,17.4931,16.0000
2026-01-06 17:00:00,52.0803,4.9203,15.6674,17.0000
2026-01-06 18:00:00,55.2422,5.4661,15.8094,18.0000
2026-01-06 19:00:00,52.3638,5.2828,15.0671,19.0000
2026-01-06 20:00:00,56.1711,6.0443,17.0359,20.0000
2026-01-06 21:00:00,58.8059,6.2261,17.9296,21.0000
2026-01-06 22:00:00,58.1962,6.8354,18.4473,22.0000
2026-01-06 23:00:00,60.0264,7.0496,18.9234,23.0000
2026-01-07 00:00:00,65.7069,6.7327,20.1410,0.0000
2026-01-07 01:00:00,66.5139,6.9441,18.9893,1.0000
2026-01-07 02:00:00,70.2960,6.7708,20.6111,2.0000
2026-01-07 03:00:00,70.6108,5.9914,21.8429,3.0000
2026-01-07 04:00:00,73.0572,5.7492,22.8514,4.0000
2026-01-07 05:00:00,73.2099,5.3948,21.0697,5.0000
2026-01-07 06:00:00,73.7715,4.9560,21.5484,6.0000
2026-01-07 07:00:00,76.2940,4.1944,23.4876,7.0000
2026-01-07 08:00:00,73.8038,4.2269,22.7767,8.0000
2026-01-07 09:00:00,73.9511,3.9876,22.5862,9.0000
2026-01-07 10:00:00,68.8753,3.0480,20.5462,10.0000
2026-01-07 11:00:00,69.9353,3.1997,21.7477,11.0000
2026-01-07 12:00:00,63.8758,3.4898,19.9991,12.0000
2026-01-07 13:00:00,64.6840,2.9360,19.0669,13.0000
2026-01-07 14:00:00,60.9931,3.5248,17.2990,14.0000
2026-01-07 15:00:00,58.9724,3.9628,18.5882,15.0000
2026-01-07 16:00:00,57.2645,3.5175,17.7773,16.0000
2026-01-07 17:00:00,56.6045,4.5850,16.5211,17.0000
2026-01-07 18:00:00,57.1194,5.1221,16.2050,18.0000
2026-01-07 19:00:00,57.5260,5.9897,17.0260,19.0000
2026-01-07 20:00:00,57.8195,5.7776,16.4931,20.0000
2026-01-07 21:00:00,61.2134,6.6460,17.7243,21.0000
2026-01-07 22:00:00,63.5206,6.8671,19.5528,22.0000
2026-01-07 23:00:00,63.6419,6.8143,18.5260,23.0000
2026-01-08 00:00:00,66.3985,7.2664,19.2050,0.0000
2026-01-08 01:00:00,67.8103,6.6908,19.9636,1.0000
2026-01-08 02:00:00,73.6230,7.1903,22.7034,2.0000
2026-01-08 03:00:00,73.2983,5.9617,22.8986,3.0000
2026-01-08 04:00:00,76.2837,6.4731,23.4232,4.0000
2026-01-08 05:00:00,75.2223,5.6673,21.7196,5.0000
2026-01-08 06:00:00,75.7163,5.0409,23.1053,6.0000
2026-01-08 07:00:00,76.8491,4.8587,23.1987,7.0000
2026-01-08 08:00:00,74.7219,3.5379,23.2364,8.0000
2026-01-08 09:00:00,75.4434,3.9082,22.3286,9.0000
2026-01-08 10:00:00,72.8353,3.2471,22.8055,10.0000
2026-01-08 11:00:00,69.4705,2.6921,20.2376,11.0000
2026-01-08 12:00:00,67.7285,3.3471,20.3580,12.0000
2026-01-08 13:00:00,66.0080,2.6817,20.5104,13.0000
2026-01-08 14:00:00,64.3604,3.1136,19.6066,14.0000
2026-01-08 15:00:00,61.8678,3.1808,19.3134,15.0000
2026-01-08 16:00:00,60.6204,3.5312,18.2190,16.0000
2026-01-08 17:00:00,59.1778,4.7543,18.3326,17.0000
2026-01-08 18:00:00,57.7066,4.9929,18.2145,18.0000
2026-01-08 19:00:00,60.1296,5.3930,18.6455,19.0000
2026-01-08 20:00:00,58.6972,5.9882,18.0968,20.0000
2026-01-08 21:00:00,61.1553,6.4067,18.7581,21.0000
2026-01-08 22:00:00,62.5847,7.2112,19.5972,22.0000
2026-01-08 23:00:00,65.8971,7.2352,20.3769,23.0000
2026-01-09 00:00:00,68.4605,6.6280,21.1875,0.0000
2026-01-09 01:00:00,72.9937,6.8957,22.7923,1.0000
2026-01-09 02:00:00,73.5873,6.7459,21.3054,2.0000
2026-01-09 03:00:00,77.7072,6.3174,23.8970,3.0000
2026-01-09 04:00:00,76.7749,6.0053,22.7104,4.0000
2026-01-09 05:00:00,79.8423,5.4655,23.1288,5.0000
2026-01-09 06:00:00,81.6102,5.3243,25.2928,6.0000
2026-01-09 07:00:00,81.1443,4.6449,24.1872,7.0000
2026-01-09 08:00:00,80.5553,3.6346,24.3776,8.0000
2026-01-09 09:00:00,77.8244,3.9496,24.2059,9.0000
2026-01-09 10:00:00,73.3786,3.6467,21.3762,10.0000
2026-01-09 11:00:00,72.8807,2.6078,22.0181,11.0000
2026-01-09 12:00:00,72.2655,2.9658,21.8414,12.0000
2026-01-09 13:00:00,66.3386,3.3794,19.9551,13.0000
2026-01-09 14:00:00,65.6202,3.1690,19.7035,14.0000
2026-01-09 15:00:00,65.1272,3.7616,18.6982,15.0000
2026-01-09 16:00:00,60.2785,3.7228,17.2762,16.0000
2026-01-09 17:00:00,60.8462,4.5953,19.0690,17.0000
2026-01-09 18:00:00,62.3838,4.8570,18.1193,18.0000
2026-01-09 19:00:00,62.6216,5.1735,18.4151,19.0000
2026-01-09 20:00:00,62.7122,5.9303,18.7515,20.0000
2026-01-09 21:00:00,63.1530,6.3824,18.7903,21.0000
2026-01-09 22:00:00,67.0910,6.9395,20.5835,22.0000
2026-01-09 23:00:00,66.9822,7.2746,20.2666,23.0000
2026-01-10 00:00:00,71.9114,7.1028,22.4636,0.0000
2026-01-10 01:00:00,74.6719,6.9501,22.7560,1.0000
2026-01-10 02:00:00,76.7384,6.6802,23.2119,2.0000
2026-01-10 03:00:00,79.9758,6.0141,23.0924,3.0000
2026-01-10 04:00:00,78.8530,6.1153,23.4252,4.0000
2026-01-10 05:00:00,82.7112,5.8162,24.0425,5.0000
2026-01-10 06:00:00,82.8741,4.8595,25.6863,6.0000
2026-01-10 07:00:00,83.0599,4.4942,24.8642,7.0000
2026-01-10 08:00:00,81.4008,4.1191,24.2376,8.0000
2026-01-10 09:00:00,80.0641,3.1657,24.0717,9.0000
2026-01-10 10:00:00,77.5605,2.9160,22.8968,10.0000
2026-01-10 11:00:00,75.4917,3.5080,23.2371,11.0000
2026-01-10 12:00:00,72.1013,3.3681,20.8144,12.0000
2026-01-10 13:00:00,71.2764,2.8077,20.5169,13.0000
2026-01-10 14:00:00,68.7564,3.0240,20.1227,14.0000
2026-01-10 15:00:00,67.8792,3.4375,20.5545,15.0000
2026-01-10 16:00:00,66.3720,4.2256,19.6998,16.0000
2026-01-10 17:00:00,63.6320,4.3551,19.5730,17.0000
2026-01-10 18:00:00,62.5862,5.1021,18.5750,18.0000
2026-01-10 19:00:00,62.5177,5.5289,17.9783,19.0000
2026-01-10 20:00:00,65.9553,5.5991,18.8712,20.0000
2026-01-10 21:00:00,67.1395,6.2281,20.0585,21.0000
2026-01-10 22:00:00,69.5171,6.9010,20.9197,22.0000
2026-01-10 23:00:00,69.5613,7.3420,21.5974,23.0000
