time,target,temperature,load
2026-01-03 17:00:00,182.0102,7.4715,108.5227
2026-01-03 18:00:00,183.1945,5.8353,107.9931
2026-01-03 19:00:00,181.9602,4.4944,112.6919
2026-01-03 20:00:00,183.9702,4.6071,115.6613
2026-01-03 21:00:00,191.3025,4.5146,122.2642
2026-01-03 22:00:00,196.2312,3.9956,124.9353
2026-01-03 23:00:00,199.6253,5.6429,128.2588
2026-01-04 00:00:00,210.2125,6.0499,136.6061
2026-01-04 01:00:00,218.9813,8.5745,140.7922
2026-01-04 02:00:00,224.9952,10.1714,144.6366
2026-01-04 03:00:00,235.8669,11.6989,150.1371
2026-01-04 04:00:00,241.2322,14.8424,148.2561
2026-01-04 05:00:00,239.5687,16.4384,147.6535
2026-01-04 06:00:00,238.0161,17.4890,143.7063
2026-01-04 07:00:00,242.8940,18.9844,141.9904
2026-01-04 08:00:00,237.2352,19.0211,136.6039
2026-01-04 09:00:00,232.7822,20.5167,132.9556
2026-01-04 10:00:00,226.6149,19.3209,126.5698
2026-01-04 11:00:00,221.5806,18.8409,121.9816
2026-01-04 12:00:00,215.1739,17.7778,120.9744
2026-01-04 13:00:00,205.2765,16.1969,113.2172
2026-01-04 14:00:00,198.7663,14.7407,112.5247
2026-01-04 15:00:00,193.1244,11.8884,107.0543
2026-01-04 16:00:00,189.9408,9.7557,108.4943
2026-01-04 17:00:00,180.8291,7.2546,105.4714
2026-01-04 18:00:00,187.2978,6.7281,113.2139
2026-01-04 19:00:00,186.0198,4.7084,112.8747
2026-01-04 20:00:00,188.6381,3.5743,118.5351
2026-01-04 21:00:00,192.8526,4.0680,121.2680
2026-01-04 22:00:00,195.6408,4.2298,124.6270
2026-01-04 23:00:00,207.6171,4.7671,134.7121
2026-01-05 00:00:00,216.4017,6.5134,139.9673
2026-01-05 01:00:00,219.8931,7.7555,143.5069
2026-01-05 02:00:00,227.8486,9.5844,145.3425
2026-01-05 03:00:00,236.4308,12.4652,148.1105
2026-01-05 04:00:00,244.6834,13.3061,152.9715
2026-01-05 05:00:00,244.6856,16.6419,148.0118
2026-01-05 06:00:00,246.8138,18.3724,148.7565
2026-01-05 07:00:00,241.3269,19.6017,144.0865
2026-01-05 08:00:00,238.4672,20.2510,136.3976
2026-01-05 09:00:00,233.6135,20.4726,133.9767
2026-01-05 10:00:00,234.5575,19.9385,132.1210
2026-01-05 11:00:00,221.9911,19.0448,125.5052
2026-01-05 12:00:00,217.3733,18.2577,119.2138
2026-01-05 13:00:00,210.4652,16.3708,114.9033
2026-01-05 14:00:00,204.0616,13.5523,112.6461
2026-01-05 15:00:00,191.9265,12.2603,106.6540
2026-01-05 16:00:00,194.6248,9.1295,113.0129
2026-01-05 17:00:00,190.0456,8.1109,111.7271
2026-01-05 18:00:00,189.4838,6.5613,112.2478
2026-01-05 19:00:00,190.6470,4.8380,117.3115
2026-01-05 20:00:00,191.5187,4.9190,119.5687
2026-01-05 21:00:00,199.1642,3.3309,125.8742
2026-01-05 22:00:00,204.0646,4.4517,132.4283
2026-01-05 23:00:00,207.7487,5.5585,135.4910
2026-01-06 00:00:00,215.1434,5.7669,139.4192
2026-01-06 01:00:00,229.7196,8.1820,147.2028
2026-01-06 02:00:00,233.3549,10.4247,148.7624
2026-01-06 03:00:00,239.9573,12.1493,152.7738
2026-01-06 04:00:00,246.9839,14.6132,152.2552
2026-01-06 05:00:00,248.5290,16.5169,152.5782
2026-01-06 06:00:00,252.5145,18.3212,150.0192
2026-01-06 07:00:00,248.0934,18.7006,145.0884
2026-01-06 08:00:00,245.1872,20.5012,143.1854
2026-01-06 09:00:00,237.3563,19.5964,134.8213
2026-01-06 10:00:00,237.5812,19.6626,132.5265
2026-01-06 11:00:00,227.8161,18.5238,125.1838
2026-01-06 12:00:00,220.5413,18.4422,123.4285
2026-01-06 13:00:00,214.0751,15.4442,119.0326
2026-01-06 14:00:00,206.1954,14.4852,114.8438
2026-01-06 15:00:00,195.4633,12.6843,109.2690
2026-01-06 16:00:00,196.3266,9.8722,113.9127
2026-01-06 17:00:00,190.2741,7.3479,111.2883
2026-01-06 18:00:00,190.5401,6.8113,113.9391
2026-01-06 19:00:00,193.2038,4.8739,119.4411
2026-01-06 20:00:00,192.4130,4.8807,122.2254
2026-01-06 21:00:00,196.1265,4.5734,125.8592
2026-01-06 22:00:00,207.8440,3.6420,134.2981
2026-01-06 23:00:00,215.8588,5.2738,141.0292
2026-01-07 00:00:00,225.1756,6.5569,146.8055
2026-01-07 01:00:00,226.6649,7.6773,145.7776
2026-01-07 02:00:00,237.0814,10.6540,151.4529
2026-01-07 03:00:00,244.2337,12.1940,155.3936
2026-01-07 04:00:00,247.3841,14.4536,153.8311
2026-01-07 05:00:00,250.5472,15.7424,151.5312
2026-01-07 06:00:00,248.5873,17.3945,148.3532
2026-01-07 07:00:00,248.2775,18.9050,145.7819
2026-01-07 08:00:00,252.1888,20.1762,146.9736
2026-01-07 09:00:00,246.9391,19.6395,139.5575
2026-01-07 10:00:00,238.9776,19.2914,136.6665
2026-01-07 11:00:00,230.4146,19.5460,127.5725
2026-01-07 12:00:00,220.1498,17.8601,122.8615
2026-01-07 13:00:00,213.8336,16.6829,120.5335
2026-01-07 14:00:00,210.1981,14.8407,119.3913
2026-01-07 15:00:00,199.8219,12.3686,113.8060
2026-01-07 16:00:00,199.8743,9.6727,115.0978
2026-01-07 17:00:00,195.8768,8.5599,113.1437
2026-01-07 18:00:00,193.3017,6.0469,117.1472
2026-01-07 19:00:00,192.4052,4.3705,116.4930
2026-01-07 20:00:00,195.5475,4.1689,123.7913
2026-01-07 21:00:00,202.3779,3.3618,129.1777
2026-01-07 22:00:00,208.5613,4.3865,134.7876
2026-01-07 23:00:00,216.9326,5.4450,140.2970
2026-01-08 00:00:00,228.0143,6.7629,148.4134
2026-01-08 01:00:00,235.0849,7.6516,150.7286
2026-01-08 02:00:00,242.6782,10.3849,155.1886
2026-01-08 03:00:00,249.6078,12.5193,156.9999
2026-01-08 04:00:00,252.9049,13.3406,156.6527
2026-01-08 05:00:00,256.7419,16.6616,158.0267
2026-01-08 06:00:00,255.6144,17.2242,154.9109
2026-01-08 07:00:00,256.4861,18.4347,149.4542
2026-01-08 08:00:00,255.4052,19.8501,146.6810
2026-01-08 09:00:00,251.6826,20.1396,144.9730
2026-01-08 10:00:00,244.1513,19.3369,137.9201
2026-01-08 11:00:00,231.9922,19.1081,129.2744
2026-01-08 12:00:00,229.3200,17.0421,126.4142
2026-01-08 13:00:00,218.4817,15.2025,121.0560
2026-01-08 14:00:00,216.0005,14.6557,119.6602
2026-01-08 15:00:00,208.8906,11.5601,117.2218
2026-01-08 16:00:00,202.7200,9.6000,115.4370
2026-01-08 17:00:00,195.4573,7.4828,113.4560
2026-01-08 18:00:00,201.1950,5.6103,120.8776
2026-01-08 19:00:00,196.7699,5.4242,118.6622
2026-01-08 20:00:00,201.1906,4.6529,123.8180
2026-01-08 21:00:00,206.4274,3.7216,130.8642
2026-01-08 22:00:00,214.5293,3.6005,138.8415
2026-01-08 23:00:00,219.0457,5.5071,139.6184
2026-01-09 00:00:00,225.5506,5.8530,143.6658
2026-01-09 01:00:00,234.6973,7.4233,148.8236
2026-01-09 02:00:00,246.9149,9.9750,156.7954
2026-01-09 03:00:00,250.5294,12.4968,155.5723
2026-01-09 04:00:00,251.7436,14.3365,154.0742
2026-01-09 05:00:00,258.5733,16.1999,159.1302
2026-01-09 06:00:00,255.7053,17.5000,152.6750
2026-01-09 07:00:00,259.4691,18.1810,154.1094
2026-01-09 08:00:00,259.6367,19.8053,151.4469
2026-01-09 09:00:00,254.0442,20.5500,146.6329
2026-01-09 10:00:00,245.1979,19.0676,139.6362
2026-01-09 11:00:00,240.9642,19.2497,134.1778
2026-01-09 12:00:00,234.3996,17.8534,129.8894
2026-01-09 13:00:00,225.2743,15.5586,124.4682
2026-01-09 14:00:00,219.1420,13.3589,124.3041
2026-01-09 15:00:00,209.0109,12.1152,119.0994
2026-01-09 16:00:00,208.4399,9.4812,118.4357
2026-01-09 17:00:00,202.4695,7.5586,118.5900
2026-01-09 18:00:00,198.3819,5.6871,119.2991
2026-01-09 19:00:00,199.0866,4.6984,121.5929
2026-01-09 20:00:00,202.5789,4.7615,128.1536
2026-01-09 21:00:00,206.9937,4.4910,129.9708
2026-01-09 22:00:00,218.9363,3.5697,141.0040
2026-01-09 23:00:00,227.9451,4.6863,145.0866
2026-01-10 00:00:00,231.1238,6.9189,149.7950
2026-01-10 01:00:00,237.5683,8.6430,153.1568
2026-01-10 02:00:00,251.3572,10.6858,158.1083
2026-01-10 03:00:00,255.8840,11.2392,159.3685
2026-01-10 04:00:00,259.2725,13.6437,159.4366
2026-01-10 05:00:00,260.9899,15.9351,160.8536
2026-01-10 06:00:00,263.9498,17.7466,159.2470
2026-01-10 07:00:00,259.9348,19.4135,154.4238
2026-01-10 08:00:00,262.0950,19.6477,152.4243
2026-01-10 09:00:00,251.5617,19.9336,144.4408
2026-01-10 10:00:00,252.4994,20.3612,142.1963
2026-01-10 11:00:00,243.8652,19.4979,138.5051
2026-01-10 12:00:00,235.6443,17.3842,132.8808
2026-01-10 13:00:00,222.7155,16.1080,123.8023
2026-01-10 14:00:00,222.5620,14.2644,123.6794
2026-01-10 15:00:00,210.7609,11.2577,120.3944
2026-01-10 16:00:00,211.0851,9.7269,120.5457
2026-01-10 17:00:00,206.4322,7.5128,121.3778
2026-01-10 18:00:00,203.8488,6.0537,123.0737
2026-01-10 19:00:00,204.2618,4.8021,125.4010
2026-01-10 20:00:00,212.9540,3.7128,131.9983
2026-01-10 21:00:00,212.5179,3.7040,134.5326
2026-01-10 22:00:00,223.2623,3.7626,143.4927
2026-01-10 23:00:00,227.5413,5.1870,146.1947
2026-01-11 00:00:00,236.8237,5.8303,152.5584
2026-01-11 01:00:00,243.1313,8.4545,155.9211
2026-01-11 02:00:00,250.5635,10.7088,157.7145
2026-01-11 03:00:00,253.7734,11.3971,160.0944
2026-01-11 04:00:00,259.3158,14.4472,158.9426
2026-01-11 05:00:00,264.1065,16.1956,159.1353
2026-01-11 06:00:00,266.3630,18.4558,160.7293
2026-01-11 07:00:00,265.1417,19.5817,156.7737
2026-01-11 08:00:00,265.6680,19.4775,153.9273
2026-01-11 09:00:00,260.1674,20.4175,149.7999
2026-01-11 10:00:00,249.7027,19.6016,140.4343
2026-01-11 11:00:00,243.2663,18.3142,137.2935
2026-01-11 12:00:00,234.9322,17.4229,129.0344
2026-01-11 13:00:00,231.8235,16.2005,127.7473
2026-01-11 14:00:00,226.7013,14.8625,128.3607
2026-01-11 15:00:00,219.4829,12.3257,122.7067
2026-01-11 16:00:00,210.6041,9.5084,119.4489
2026-01-11 17:00:00,210.6790,8.1459,123.2678
2026-01-11 18:00:00,210.6862,5.9180,125.5349
2026-01-11 19:00:00,206.7928,4.6482,128.0670
2026-01-11 20:00:00,212.9393,4.6513,134.2348
2026-01-11 21:00:00,219.2679,3.7779,140.5009
2026-01-11 22:00:00,220.9408,4.1336,142.7649
2026-01-11 23:00:00,233.1430,4.8376,150.8537
2026-01-12 00:00:00,241.6629,6.7006,154.0637
2026-01-12 01:00:00,248.9546,8.2493,160.3921
2026-01-12 02:00:00,255.0033,10.6163,162.5427
2026-01-12 03:00:00,258.9391,12.1254,161.2198
2026-01-12 04:00:00,267.1202,13.7916,167.2639
2026-01-12 05:00:00,268.0656,16.4637,164.7712
2026-01-12 06:00:00,269.4873,17.7993,160.6234
2026-01-12 07:00:00,268.6306,18.8309,159.4364
2026-01-12 08:00:00,266.8463,19.1848,155.7037
2026-01-12 09:00:00,262.2916,20.0402,150.0862
2026-01-12 10:00:00,259.0343,19.9743,147.4068
2026-01-12 11:00:00,249.0252,18.7711,139.4641
2026-01-12 12:00:00,242.8307,17.5575,133.9764
2026-01-12 13:00:00,231.5513,15.2856,127.4680
2026-01-12 14:00:00,225.5740,13.8750,126.5098
2026-01-12 15:00:00,218.2460,11.5729,123.6650
2026-01-12 16:00:00,214.3427,9.5469,123.5721
2026-01-12 17:00:00,215.2813,7.2972,124.6350
2026-01-12 18:00:00,211.8835,6.9739,127.6579
2026-01-12 19:00:00,212.3914,5.8282,130.7383
2026-01-12 20:00:00,219.2226,4.8201,134.6889
2026-01-12 21:00:00,219.0960,4.4654,138.0934
2026-01-12 22:00:00,231.1024,3.5865,149.0734
2026-01-12 23:00:00,236.2503,4.9301,152.7278
2026-01-13 00:00:00,243.4840,6.2783,154.8276
2026-01-13 01:00:00,253.3860,7.4340,160.8914
2026-01-13 02:00:00,255.2048,9.1547,160.9714
2026-01-13 03:00:00,261.2180,11.9507,163.1896
2026-01-13 04:00:00,265.9255,14.0128,163.7008
2026-01-13 05:00:00,270.7800,16.0658,164.3866
2026-01-13 06:00:00,270.5357,18.3464,164.2081
2026-01-13 07:00:00,271.1228,19.1831,160.4256
2026-01-13 08:00:00,268.3694,19.7886,155.0832
2026-01-13 09:00:00,263.9650,19.9255,149.4882
2026-01-13 10:00:00,257.5402,20.5014,146.9445
2026-01-13 11:00:00,251.2664,19.7229,140.4160
2026-01-13 12:00:00,247.8098,17.3728,140.2624
2026-01-13 13:00:00,237.0020,16.5950,131.0895
2026-01-13 14:00:00,229.4553,13.8219,130.1398
2026-01-13 15:00:00,227.1606,11.4169,128.8656
2026-01-13 16:00:00,217.0000,9.2348,123.7205
2026-01-13 17:00:00,213.3625,7.6828,125.1523
2026-01-13 18:00:00,219.1367,6.5862,132.5252
2026-01-13 19:00:00,215.7170,4.7866,131.6664
2026-01-13 20:00:00,218.0810,3.5046,134.9502
2026-01-13 21:00:00,228.5643,3.2817,144.2258
2026-01-13 22:00:00,229.3554,4.6927,144.4259
2026-01-13 23:00:00,238.9677,5.4318,152.8893
2026-01-14 00:00:00,243.9480,6.9654,154.4454
2026-01-14 01:00:00,258.1279,8.5091,166.0717
2026-01-14 02:00:00,265.0241,9.7210,168.1793
2026-01-14 03:00:00,268.2235,12.1359,167.5246
2026-01-14 04:00:00,276.2178,13.7631,170.9755
2026-01-14 05:00:00,273.0731,15.2938,167.9723
2026-01-14 06:00:00,276.5533,17.4561,167.8746
2026-01-14 07:00:00,278.6074,18.3769,164.7481
2026-01-14 08:00:00,273.8454,19.8947,158.3978
2026-01-14 09:00:00,267.5687,20.7115,153.8544
2026-01-14 10:00:00,263.7066,20.0341,150.5724
2026-01-14 11:00:00,253.6460,19.3809,142.4593
2026-01-14 12:00:00,245.8038,17.3632,139.4454
2026-01-14 13:00:00,243.7459,16.6454,136.5905
2026-01-14 14:00:00,234.9905,13.9046,133.2731
2026-01-14 15:00:00,228.1224,11.7721,131.7119
2026-01-14 16:00:00,223.2268,9.1941,130.1932
2026-01-14 17:00:00,217.1395,7.6479,127.5077
2026-01-14 18:00:00,217.1932,6.2620,130.0753
2026-01-14 19:00:00,220.9133,5.3152,135.8779
2026-01-14 20:00:00,220.2223,3.8520,135.5999
2026-01-14 21:00:00,227.3998,3.9311,144.9182
2026-01-14 22:00:00,231.2130,4.7690,146.0111
2026-01-14 23:00:00,244.4107,5.6293,158.2502
