time,sales,is_weekend
2026-04-09 00:00:00,602.4418,0.0000
2026-04-10 00:00:00,735.9568,0.0000
2026-04-11 00:00:00,726.9700,0.0000
2026-04-12 00:00:00,648.4942,0.0000
2026-04-13 00:00:00,558.7084,0.0000
2026-04-14 00:00:00,507.3668,1.0000
2026-04-15 00:00:00,507.3698,1.0000
2026-04-16 00:00:00,630.5874,0.0000
2026-04-17 00:00:00,718.2474,0.0000
2026-04-18 00:00:00,737.0286,0.0000
2026-04-19 00:00:00,694.4495,0.0000
2026-04-20 00:00:00,584.6520,0.0000
2026-04-21 00:00:00,538.2760,1.0000
2026-04-22 00:00:00,557.8648,1.0000
2026-04-23 00:00:00,652.4073,0.0000
2026-04-24 00:00:00,751.0726,0.0000
2026-04-25 00:00:00,771.2885,0.0000
2026-04-26 00:00:00,689.4008,0.0000
2026-04-27 00:00:00,565.5555,0.0000
2026-04-28 00:00:00,520.7628,1.0000
2026-04-29 00:00:00,553.7595,1.0000
2026-04-30 00:00:00,666.2710,0.0000
2026-05-01 00:00:00,745.5167,0.0000
2026-05-02 00:00:00,765.9047,0.0000
2026-05-03 00:00:00,677.7805,0.0000
2026-05-04 00:00:00,603.0572,0.0000
2026-05-05 00:00:00,508.6589,1.0000
2026-05-06 00:00:00,538.3549,1.0000
2026-05-07 00:00:00,628.3602,0.0000
2026-05-08 00:00:00,757.8583,0.0000
2026-05-09 00:00:00,792.6581,0.0000
2026-05-10 00:00:00,711.5792,0.0000
2026-05-11 00:00:00,583.3072,0.0000
2026-05-12 00:00:00,552.1619,1.0000
2026-05-13 00:00:00,548.3008,1.0000
2026-05-14 00:00:00,670.0711,0.0000
2026-05-15 00:00:00,763.4397,0.0000
2026-05-16 00:00:00,801.2304,0.0000
2026-05-17 00:00:00,698.5381,0.0000
2026-05-18 00:00:00,598.9948,0.0000
2026-05-19 00:00:00,539.5692,1.0000
2026-05-20 00:00:00,551.8069,1.0000
2026-05-21 00:00:00,690.2700,0.0000
2026-05-22 00:00:00,769.1507,0.0000
2026-05-23 00:00:00,767.7036,0.0000
2026-05-24 00:00:00,722.5641,0.0000
2026-05-25 00:00:00,600.6714,0.0000
2026-05-26 00:00:00,580.1902,1.0000
2026-05-27 00:00:00,574.3576,1.0000
2026-05-28 00:00:00,651.5273,0.0000
2026-05-29 00:00:00,783.4316,0.0000
2026-05-30 00:00:00,787.3199,0.0000
2026-05-31 00:00:00,739.5434,0.0000
2026-06-01 00:00:00,643.2530,0.0000
2026-06-02 00:00:00,544.1503,1.0000
2026-06-03 00:00:00,592.0997,1.0000
2026-06-04 00:00:00,707.3094,0.0000
2026-06-05 00:00:00,766.1900,0.0000
2026-06-06 00:00:00,791.6609,0.0000
2026-06-07 00:00:00,749.1644,0.0000
2026-06-08 00:00:00,615.4229,0.0000
2026-06-09 00:00:00,589.8006,1.0000
2026-06-10 00:00:00,613.2827,1.0000
2026-06-11 00:00:00,715.5253,0.0000
2026-06-12 00:00:00,804.8832,0.0000
2026-06-13 00:00:00,816.6123,0.0000
2026-06-14 00:00:00,746.8719,0.0000
2026-06-15 00:00:00,647.7368,0.0000
2026-06-16 00:00:00,589.0094,1.0000
2026-06-17 00:00:00,630.4146,1.0000
